Time(sec),Intensity
54.5,0.3719063545
55,0.3551839465
55.5,0.3384615385
56,0.3217391304
56.5,0.3050167224
57,0.2882943144
57.5,0.2715719063
58,0.2548494983
58.5,0.2381270903
59,0.2214046823
59.5,0.2046822742
60,0.1879598662
60.5,0.1712374582
61,0.1545150501
61.5,0.1387248764
62,0.1602693602
62.5,0.2006734006
63,0.2410774411
63.5,0.2814814815
64,0.3218855219
64.5,0.3622895623
65,0.4024771525
65.5,0.4505050505
66,0.501010101
66.5,0.5515151515
67,0.602020202
67.5,0.6525252525
68,0.703030303
68.5,0.7226931961
69,0.6931323283
69.5,0.6629815745
70,0.6328308207
70.5,0.602680067
71,0.5725293132
71.5,0.5423785594
72,0.5122278057
72.5,0.4820770519
73,0.4519262981
73.5,0.4217755444
74,0.3916247906
74.5,0.3614740368
75,0.3348347074
75.5,0.3232323232
76,0.3131313131
76.5,0.303030303
77,0.2929292929
77.5,0.2828282828
78,0.2727272728
78.5,0.2653195239
79,0.2613119144
79.5,0.2572958501
80,0.2532797858
80.5,0.2492637216
81,0.2452476573
81.5,0.2412315931
82,0.2372155288
82.5,0.2331994645
83,0.2291834003
83.5,0.225167336
84,0.2211512718
84.5,0.2171352075
85,0.2131191432
85.5,0.209103079
86,0.2050870147
86.5,0.2016812043
87,0.2269360269
87.5,0.2673400673
88,0.3077441078
88.5,0.3481481482
89,0.3885521886
89.5,0.428956229
90,0.463011063
90.5,0.4666666667
91,0.4666666667
91.5,0.4666666667
92,0.4666666667
92.5,0.4666666667
93,0.4666666667
93.5,0.4666666667
94,0.4666666667
94.5,0.4666666667
95,0.4666666667
95.5,0.4666666667
96,0.4666666667
96.5,0.4666666667
97,0.4666666667
97.5,0.4666666667
98,0.4666666667
98.5,0.4666666667
99,0.4666666667
99.5,0.4666666667
100,0.4666666667
100.5,0.4666666667
101,0.4666666667
101.5,0.4666666667
102,0.4666666667
102.5,0.4666666667
103,0.4666666667
103.5,0.4666666667
104,0.4666666667
104.5,0.4666666667
105,0.4666666667
105.5,0.4666666667
106,0.4666666667
106.5,0.4666666667
107,0.4666666667
107.5,0.4666666667
108,0.4666666667
108.5,0.4666666667
109,0.4666666667
109.5,0.4666666667
110,0.4666666667
110.5,0.4666666667
